Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
323.397559,-0.680775,13.60766667,0.12025,12.7685,0.16875,0.058254922,12,split_295.0_335.0/28_2.csv,0.6-4.0,82,198274,0.261000178,2.6,,0.172904887
308.1570195,0.2123405,13.68270833,0.137166667,12.849375,0.162041667,0.07796808,24,split_295.0_335.0/13_3.csv,0.6-4.0,109,174746,0.41544721,2.27,ESO_132-14_OpC,0.161811339
308.689992,0.525158,12.02838462,0.120384615,10.87653846,0.113,0.04272344,13,split_295.0_335.0/13_3.csv,0.6-4.0,107,174746,0.4106753,1.41,,0.153951245
326.915398,-1.066892,13.40389796,0.118877551,12.50457143,0.136816327,0.121433364,49,split_295.0_335.0/32_2.csv,0.6-4.0,56,193455,0.517598655,6.84,,0.02973802
326.9428265,-0.2296985,14.01075,0.114875,13.1991875,0.14825,0.023309911,16,split_295.0_335.0/32_2.csv,0.6-4.0,352,193455,0.880469766,5.13,,0.095551758
327.2336885,-0.515639,12.97033333,0.102583333,12.176,0.110333333,0.013322398,12,split_295.0_335.0/32_2.csv,0.6-4.0,310,193455,1.155404195,6,,0.146287582
327.738883,-0.3836,13.53832258,0.118709677,12.532,0.126225806,0.035583115,31,split_295.0_335.0/32_2.csv,0.6-4.0,304,193455,1.117513599,7.76,,0.06119863
327.6284245,-0.912981,14.0474,0.1304,13.28805,0.1503,0.038504537,20,split_295.0_335.0/32_2.csv,0.6-4.0,105,193455,0.666274481,7.51,,0.111578319
296.585958,-0.4509235,13.3565,0.0928,12.31135,0.1224,0.05263435,20,split_295.0_335.0/1_2.csv,0.6-4.0,48,121963,0.613863404,5.77,,0.173275052
319.894866,0.1059225,13.40508333,0.138916667,12.58483333,0.15025,0.03768362,12,split_295.0_335.0/25_3.csv,0.6-4.0,85,195903,0.405913174,5.67,,0.146780197
